,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
5940,Ocosingo,Ocosingo,16.9072,-92.0961,Mexico,MX,MEX,Chiapas,minor,41878.0,1484937914
5943,Ramos Arizpe,Ramos Arizpe,25.55,-100.9667,Mexico,MX,MEX,Coahuila de Zaragoza,minor,48228.0,1484685820
5956,Tizimín,Tizimin,21.1425,-88.1647,Mexico,MX,MEX,Yucatán,minor,46971.0,1484254957
5965,Cuetzalan,Cuetzalan,20.0333,-97.5167,Mexico,MX,MEX,Puebla,minor,47983.0,1484831454
5966,Loreto,Loreto,22.2667,-101.9833,Mexico,MX,MEX,Zacatecas,minor,43411.0,1484384276
6003,Tlalmanalco,Tlalmanalco,19.2044,-98.8025,Mexico,MX,MEX,México,minor,46130.0,1484054902
6047,Moroleón,Moroleon,20.1333,-101.2,Mexico,MX,MEX,Guanajuato,minor,41909.0,1484802402
6056,Tlapa de Comonfort,Tlapa de Comonfort,17.5461,-98.5764,Mexico,MX,MEX,Guerrero,minor,37975.0,1484110723
6062,Puerto Escondido,Puerto Escondido,15.8619,-97.0672,Mexico,MX,MEX,Oaxaca,,45000.0,1484644846
6074,Parras de la Fuente,Parras de la Fuente,25.4403,-102.1792,Mexico,MX,MEX,Coahuila de Zaragoza,minor,45423.0,1484273682
6075,Emiliano Zapata,Emiliano Zapata,18.8667,-99.15,Mexico,MX,MEX,Morelos,minor,39702.0,1484666092
6099,Empalme,Empalme,27.9617,-110.8125,Mexico,MX,MEX,Sonora,minor,42516.0,1484366250
6110,Villa de Zaachila,Villa de Zaachila,16.9508,-96.7492,Mexico,MX,MEX,Oaxaca,minor,43279.0,1484472329
6122,Izúcar de Matamoros,Izucar de Matamoros,18.6,-98.4667,Mexico,MX,MEX,Puebla,minor,41042.0,1484858520
6167,Jáltipan de Morelos,Jaltipan de Morelos,17.9703,-94.7144,Mexico,MX,MEX,Veracruz,minor,41644.0,1484054405
6177,Coyotepec,Coyotepec,19.7756,-99.2056,Mexico,MX,MEX,Morelos,minor,41810.0,1484352296
